id,univ_rank,univ_factor,major_rank,major_factor,know_reason,prof_exp,study_hard,time_eff,edu_doubt,learn_fun,study_mate,try_hard,write_vol,find_data,self_study,try_fail,get_fdbk,real_appl,ask_q,fit_major,enjoy_major,cont_major,int_major,rechoice_major,why_not_rechoice,move_univ,change_major,change_career,take_leave,drop_out,go_abroad,go_grad,work_fee,has_future_job,future_job_desc,job_region,has_income,has_major_income,income_class,income_contest,income_perf,income_broadcast,income_studio,income_creator,income_choreo,info_dept,info_career_center,info_online,info_family,info_friends,info_academy,info_self,help_financial,help_resume,help_career,help_social,help_no,smoke_exp,drink_freq,exercise_reg,weight_control,burnout,mental_health,physical_health,birth_area,current_area,housing_type,housing_infra,housing_transit,housing_safety,housing_hygiene,housing_green,housing_culture,housing_edu,housing_neighbor,move_for_univ,stay_after,non_stay_reason,lecture_fac,support_fac,scholarship,tuition,transport,prac_cls,theory_cls,prof_effort,lecture_qual,admin_serv,car_spt,intern_abroad,total_univ,career_course,career_mentoring,job_test,job_prep,field_practice,abroad_practice,job_info,job_fair,prof_hi,prof_chat,prof_class_talk,prof_other_talk,prof_career,prof_personal,prof_grade,prof_event,peer_personal,peer_class,peer_study,peer_career,peer_advice,peer_event,peer_external,students_diligent,course_variety,student_interact,prof_passion,prof_access,major_belong,major_proud,univ_belong,univ_proud,gender,grade,enter_type,enter_year,major_detail,dance_years,exp_solo_comp,exp_group_comp,exp_concours,exp_perf,exp_video,exp_broadcast,univ_name,univ_area,univ_course_year
1,2,commute_near,2,on_interest,4,4,4,3,2,4,5,3,2,1,3,3,4,3,3,3,3,3,4,0,,1,4,3,1,1,1,3,4,0,,seoul,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,4,4,3,4,3,1,5,3,keep_weight,1,3,2,yeongnam,yeongnam,independent,3,3,3,3,2,3,4,2,1,1,,3,4,3,2,4,3,3,4,3,3,3,3,,0,0,0,0,1,0,0,0,4,4,5,4,4,4,4,5,3,4,3,3,4,4,4,3,3,5,4,4,4,4,4,4,0,4,early,2022,jazzdance,7to10,1,1,1,1,0,0,yu,yeongnam,4
2,1,parent_teacher,1,suggested,2,4,3,4,4,3,5,3,4,1,3,4,3,2,1,2,2,2,2,0,,2,2,4,3,1,3,1,2,0,,seoul,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,4,4,2,2,4,1,2,2,lose_weight,0,3,3,yeongnam,yeongnam,independent,3,3,3,3,3,3,3,4,1,0,better_job,4,4,4,3,4,4,4,4,4,4,4,4,,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,0,4,early,2022,streetdance,over10,1,1,1,1,1,0,yu,yeongnam,4
3,1,social_reputation,1,on_interest,3,3,4,3,3,2,5,4,2,1,4,5,4,3,5,3,3,3,3,0,,1,2,3,1,2,1,3,1,1,"afterschool_instructor, academy_instructor",yeongnam,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,3,5,3,3,3,1,2,2,lose_weight,1,3,3,yeongnam,yeongnam,parents,3,4,3,3,4,3,3,4,0,0,better_culture,2,3,3,1,3,3,2,3,3,3,3,3,,0,0,0,0,0,0,0,0,5,5,3,3,3,3,4,5,4,4,4,4,4,4,4,4,3,5,3,3,3,3,3,3,0,4,early,2022,streetdance,2to4,1,1,1,1,1,0,yu,yeongnam,4
4,2,job_prospects,1,on_interest,3,2,5,4,1,3,5,5,1,3,5,4,3,4,3,4,5,5,5,1,,1,1,1,1,1,1,2,5,1,"instructor, sound_engineer, arts_staff",yeongnam,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,5,5,4,5,5,1,4,3,lose_weight,1,3,1,yeongnam,yeongnam,independent,3,3,3,2,3,4,4,3,1,0,better_job,1,1,1,1,4,3,2,4,3,2,1,1,,0,0,0,0,1,0,0,0,4,4,4,3,3,2,5,4,2,5,3,5,5,2,3,4,1,4,2,1,5,5,1,1,0,4,early,2022,streetdance,7to10,1,1,1,1,1,0,yu,yeongnam,4
5,2,grade_fit,1,on_interest,4,3,4,4,2,3,4,3,2,1,3,3,2,3,1,4,4,4,4,1,,1,1,2,1,1,1,4,4,1,"instructor, teacher",yeongnam,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,4,4,4,4,5,1,5,3,keep_weight,1,4,2,yeongnam,yeongnam,independent,3,3,3,1,2,1,4,3,1,1,,3,3,2,2,5,3,3,4,3,3,2,2,,1,0,0,1,1,0,0,0,3,3,2,2,3,2,2,3,3,4,4,4,4,4,4,5,2,4,3,3,5,4,5,5,0,4,early,2022,jazzdance,4to7,1,1,1,1,0,0,yu,yeongnam,4
6,1,social_reputation,3,suggested,4,5,5,3,3,3,5,4,1,1,5,4,4,4,4,2,2,2,2,0,,3,5,3,1,1,1,3,5,1,educator,yeongnam,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,5,4,4,5,5,1,4,5,lose_weight,1,4,4,yeongnam,yeongnam,parents,4,3,3,3,4,4,4,3,0,0,reduce_housing_cost,3,3,4,2,3,2,3,2,2,3,1,1,,0,0,0,0,1,0,0,0,4,4,4,4,3,2,3,3,3,3,3,2,3,3,3,4,3,5,5,4,4,4,4,4,0,4,early,2022,streetdance,7to10,1,1,1,1,1,0,yu,yeongnam,4
7,1,social_reputation,1,on_interest,3,3,3,2,2,2,4,3,2,1,3,4,4,4,2,3,4,4,4,1,,1,1,3,1,1,1,4,2,1,academy_head,yeongnam,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,4,4,3,5,2,6,2,lose_weight,0,3,2,yeongnam,yeongnam,independent,3,3,3,3,4,3,3,4,1,1,,4,4,4,2,5,2,2,2,2,3,3,3,,1,1,0,1,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,4,early,2022,choreo,4to7,1,1,1,1,0,0,yu,yeongnam,4
8,1,commute_near,1,on_interest,5,4,5,5,5,5,4,3,1,1,4,3,5,4,2,5,5,5,5,1,,1,1,3,1,1,1,3,5,0,,yeongnam,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,2,4,4,4,5,2,4,2,lose_weight,0,4,3,yeongnam,yeongnam,independent,3,3,4,3,4,3,3,4,1,1,,3,4,4,2,5,3,3,3,3,2,3,3,,0,0,0,0,1,0,1,0,5,4,4,4,2,1,2,4,5,5,5,5,5,5,5,5,4,5,4,2,5,5,5,5,0,4,early,2022,jazzdance,4to7,0,1,0,1,1,0,yu,yeongnam,4
9,1,parent_teacher,2,suggested,4,4,4,4,5,3,4,3,2,1,5,4,4,3,1,3,3,3,3,0,,1,1,4,1,1,1,1,4,0,,yeongnam,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,3,3,1,1,4,1,2,1,lose_weight,1,3,3,yeongnam,yeongnam,parents,3,1,2,3,3,3,3,3,0,0,better_culture,2,2,3,1,3,3,3,4,3,3,3,3,,0,0,0,0,0,0,0,0,5,5,5,5,4,3,4,4,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,4,0,4,early,2022,no_major,4to7,1,1,1,1,1,0,yu,yeongnam,4
10,1,peer_advice,1,career_goals,5,1,1,1,5,3,5,3,2,1,3,3,3,4,2,2,4,4,4,0,,1,1,1,1,1,4,1,5,0,,yeongnam,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,5,4,3,5,5,2,4,2,lose_weight,1,2,2,yeongnam,yeongnam,independent,3,2,3,3,3,3,3,3,1,0,better_job,2,2,3,1,3,3,3,3,4,1,2,3,,0,1,0,0,1,0,1,1,5,5,5,5,3,2,2,4,1,1,3,1,4,3,4,5,1,5,3,2,4,5,2,2,0,4,early,2022,bellydance,7to10,1,1,1,1,1,0,yu,yeongnam,4
